ORD,Name,Municipio,State,NOM,InstAG,LocationInsecure,Year,TimeSeries,TimeSeriesAvg,TimeAvg,ExactReport,HP,Yield,Period,Cite,NOM,Yield,Yield1960_T,Yield1960_L,Yield1960_S,Yield1960_E,Yield1990,Yield2007
24,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1564,TRUE,FALSE,FALSE,TRUE,52,601.20,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",601.20,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
25,Chiconautla Average,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,,FALSE,TRUE,FALSE,TRUE,,769.22,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",769.22,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
26,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1544,TRUE,FALSE,FALSE,TRUE,333,3850.10,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",3850.10,1037.313433,920,1286.486486,950,1819.5,3781.04766
27,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1545,TRUE,FALSE,FALSE,TRUE,333,3850.10,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",3850.10,1037.313433,920,1286.486486,950,1819.5,3781.04766
28,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1546,TRUE,FALSE,FALSE,TRUE,67,774.70,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",774.70,1037.313433,920,1286.486486,950,1819.5,3781.04766
29,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1551,TRUE,FALSE,TRUE,TRUE,200,2312.40,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",2312.40,1037.313433,920,1286.486486,950,1819.5,3781.04766
30,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1552,TRUE,FALSE,TRUE,TRUE,200,2312.40,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",2312.40,1037.313433,920,1286.486486,950,1819.5,3781.04766
31,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1553,TRUE,FALSE,TRUE,TRUE,200,2312.40,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",2312.40,1037.313433,920,1286.486486,950,1819.5,3781.04766
32,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1554,TRUE,FALSE,FALSE,TRUE,278,3214.20,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",3214.20,1037.313433,920,1286.486486,950,1819.5,3781.04766
33,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1555,TRUE,FALSE,FALSE,TRUE,144,1664.90,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",1664.90,1037.313433,920,1286.486486,950,1819.5,3781.04766
34,Coatepec,Chicoloapan,Mexico,"CHICOLOAPAN, MEXICO",,FALSE,1556,TRUE,FALSE,FALSE,TRUE,169,1954.00,C16 Sample,Offner (1980),"CHICOLOAPAN, MEXICO",1954.00,1037.313433,920,1286.486486,950,1819.5,3781.04766
