Location,State,Region,Size,NOM,Yield,Series,,,,,
TLALPAN,Distrito Federal,BOM,Ejido,"TLALPAN, DISTRITO FEDERAL",740.0568182,AG Census 1960,,,,,
TLALPAN,Distrito Federal,BOM,Total,"TLALPAN, DISTRITO FEDERAL",950,AG Census 1960,,,,,
TLALPAN,Distrito Federal,BOM,Large,"TLALPAN, DISTRITO FEDERAL",991.1591356,AG Census 1960,,,,,
TLALPAN,Distrito Federal,BOM,Small,"TLALPAN, DISTRITO FEDERAL",1024.682652,AG Census 1960,,,,,
XOCHIMILCO,Distrito Federal,BOM,Large,"XOCHIMILCO, DISTRITO FEDERAL",831.884058,AG Census 1960,,,,,
XOCHIMILCO,Distrito Federal,BOM,Ejido,"XOCHIMILCO, DISTRITO FEDERAL",1029.661017,AG Census 1960,,,,,
XOCHIMILCO,Distrito Federal,BOM,Total,"XOCHIMILCO, DISTRITO FEDERAL",1046.185426,AG Census 1960,,,,,
XOCHIMILCO,Distrito Federal,BOM,Small,"XOCHIMILCO, DISTRITO FEDERAL",1073.440174,AG Census 1960,,,,,
AJACUBA,Hidalgo,,Small,"AJACUBA, HIDALGO",585.8823529,AG Census 1960,,,,,
AJACUBA,Hidalgo,,Large,"AJACUBA, HIDALGO",686.3270777,AG Census 1960,,,,,
AJACUBA,Hidalgo,,Total,"AJACUBA, HIDALGO",698.3505731,AG Census 1960,,,,,
AJACUBA,Hidalgo,,Ejido,"AJACUBA, HIDALGO",740.86661,AG Census 1960,,,,,
ALMOLOYA,Hidalgo,,Total,"ALMOLOYA, HIDALGO",272.3959915,AG Census 1960,,,,,
ALMOLOYA,Hidalgo,,Small,"ALMOLOYA, HIDALGO",542.8571429,AG Census 1960,,,,,
ALMOLOYA,Hidalgo,,Large,"ALMOLOYA, HIDALGO",744.6043165,AG Census 1960,,,,,
ALMOLOYA,Hidalgo,,Ejido,"ALMOLOYA, HIDALGO",750.9252406,AG Census 1960,,,,,
APAN,Hidalgo,,Large,"APAN, HIDALGO",671.1185309,AG Census 1960,,,,,
APAN,Hidalgo,,Small,"APAN, HIDALGO",681.8181818,AG Census 1960,,,,,
APAN,Hidalgo,,Total,"APAN, HIDALGO",749.0862863,AG Census 1960,,,,,
APAN,Hidalgo,,Ejido,"APAN, HIDALGO",757.5811001,AG Census 1960,,,,,
ATITALAQUIA,Hidalgo,,Ejido,"ATITALAQUIA, HIDALGO",947.7756286,AG Census 1960,,,,,
ATITALAQUIA,Hidalgo,,Total,"ATITALAQUIA, HIDALGO",973.3333333,AG Census 1960,,,,,
ATITALAQUIA,Hidalgo,,Large,"ATITALAQUIA, HIDALGO",995.1923077,AG Census 1960,,,,,
ATITALAQUIA,Hidalgo,,Small,"ATITALAQUIA, HIDALGO",1636.363636,AG Census 1960,,,,,
ATOTONILCO DE TULA,Hidalgo,,Small,"ATOTONILCO DE TULA, HIDALGO",612.716763,AG Census 1960,,,,,
ATOTONILCO DE TULA,Hidalgo,,Large,"ATOTONILCO DE TULA, HIDALGO",666.6666667,AG Census 1960,,,,,
ATOTONILCO DE TULA,Hidalgo,,Total,"ATOTONILCO DE TULA, HIDALGO",767.7884615,AG Census 1960,,,,,
ATOTONILCO DE TULA,Hidalgo,,Ejido,"ATOTONILCO DE TULA, HIDALGO",785.9858772,AG Census 1960,,,,,
EMILIANO ZAPATA,Hidalgo,,Ejido,"EMILIANO ZAPATA, HIDALGO",771.5686275,AG Census 1960,,,,,
EMILIANO ZAPATA,Hidalgo,,Total,"EMILIANO ZAPATA, HIDALGO",772.3502304,AG Census 1960,,,,,
EMILIANO ZAPATA,Hidalgo,,Large,"EMILIANO ZAPATA, HIDALGO",775.862069,AG Census 1960,,,,,
EMILIANO ZAPATA,Hidalgo,,Small,"EMILIANO ZAPATA, HIDALGO",857.1428571,AG Census 1960,,,,,
EPAZOYUCAN,Hidalgo,,Small,"EPAZOYUCAN, HIDALGO",494.8453608,AG Census 1960,,,,,
EPAZOYUCAN,Hidalgo,,Large,"EPAZOYUCAN, HIDALGO",708.0745342,AG Census 1960,,,,,
EPAZOYUCAN,Hidalgo,,Total,"EPAZOYUCAN, HIDALGO",756.2929062,AG Census 1960,,,,,
EPAZOYUCAN,Hidalgo,,Ejido,"EPAZOYUCAN, HIDALGO",810.0649351,AG Census 1960,,,,,
FRANCISCO I. MADERO,Hidalgo,,Ejido,"FRANCISCO I. MADERO, HIDALGO",819.2771084,AG Census 1960,,,,,
