ORD,Location,State,Region,INCLUDE,Size,NOM,Harvested_ha,Fallow_ha,Maize1960_ha,Maize1960_kg,MaizeIrr1960_ha,Maize1960_t,Maize1960_kgha,Fert_ha,Properties,Properties_ha,Cultiv_ha,Irrigated_ha,Humedad_ha,Temporal_ha,FPA_ha,Pasture_ha,Forest_ha,UncultivArable_ha,Inarable_ha
714,JOCOTITLAN,Mexico,Toluca,TRUE,Large,"JOCOTITLAN, MEXICO",1150,0,793,903000,408,903,1138.713745,484,38,3569,1396,600,33,755,8,2056,0,0,117
715,JOCOTITLAN,Mexico,Toluca,TRUE,Small,"JOCOTITLAN, MEXICO",1591,0,1407,1484000,54,1484,1054.726368,0,4195,2165,2097,71,40,1926,60,47,3,4,14
716,JOCOTITLAN,Mexico,Toluca,TRUE,Ejido,"JOCOTITLAN, MEXICO",6364,40,3563,3916000,1646,3916,1099.073814,994,12,18561,8583,1692,75,6815,1,7839,620,1210,309
717,JOQUICINGO,Mexico,Toluca,TRUE,Total,"JOQUICINGO, MEXICO",1343,2,1229,1170000,0,1170,951.9934906,113,765,1437,1432,0,0,1428,4,3,0,2,0
718,JOQUICINGO,Mexico,Toluca,TRUE,Large,"JOQUICINGO, MEXICO",255,2,214,163000,0,163,761.682243,113,29,292,290,0,0,286,4,0,0,2,0
719,JOQUICINGO,Mexico,Toluca,TRUE,Small,"JOQUICINGO, MEXICO",1088,0,1015,1007000,0,1007,992.1182266,0,736,1145,1142,0,0,1142,0,3,0,0,0
720,JOQUICINGO,Mexico,Toluca,TRUE,Ejido,"JOQUICINGO, MEXICO",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
721,JUCHITEPEC,Mexico,BOM,TRUE,Total,"JUCHITEPEC, MEXICO",5907,1893,3304,2552000,0,2552,772.3970944,169,1040,10874,8420,0,0,8420,0,769,1178,298,209
722,JUCHITEPEC,Mexico,BOM,TRUE,Large,"JUCHITEPEC, MEXICO",1714,1,533,455000,0,455,853.6585366,14,114,2361,1876,0,0,1876,0,0,282,0,203
723,JUCHITEPEC,Mexico,BOM,TRUE,Small,"JUCHITEPEC, MEXICO",649,0,597,575000,0,575,963.1490787,0,924,664,664,0,0,664,0,0,0,0,0
724,JUCHITEPEC,Mexico,BOM,TRUE,Ejido,"JUCHITEPEC, MEXICO",3544,1892,2174,1522000,0,1522,700.0919963,155,2,7849,5880,0,0,5880,0,769,896,298,6
725,LERMA,Mexico,Toluca,TRUE,Total,"LERMA, MEXICO",3651,0,3334,4084000,8,4084,1224.955009,1062,1329,13450,5611,155,313,5128,15,2468,3337,534,1500
726,LERMA,Mexico,Toluca,TRUE,Large,"LERMA, MEXICO",1284,0,1191,1431000,0,1431,1201.511335,633,48,2036,1803,0,311,1489,3,142,4,0,87
727,LERMA,Mexico,Toluca,TRUE,Small,"LERMA, MEXICO",654,0,471,664000,8,664,1409.766454,0,1270,680,669,12,2,645,10,1,4,0,6
728,LERMA,Mexico,Toluca,TRUE,Ejido,"LERMA, MEXICO",1713,0,1672,1989000,0,1989,1189.593301,429,11,10734,3139,143,0,2994,2,2325,3329,534,1407
729,MALINALCO,Mexico,SSW MOR-TOL,TRUE,Total,"MALINALCO, MEXICO",1754,167,1068,1126000,309,1126,1054.307116,350,2379,20690,4504,1029,21,3082,372,4989,8096,1229,1872
730,MALINALCO,Mexico,SSW MOR-TOL,TRUE,Large,"MALINALCO, MEXICO",202,48,200,174000,47,174,870,84,119,4804,473,61,17,373,22,638,2307,300,1086
731,MALINALCO,Mexico,SSW MOR-TOL,TRUE,Small,"MALINALCO, MEXICO",551,0,440,367000,32,367,834.0909091,0,2250,936,888,55,4,540,289,8,0,1,39
732,MALINALCO,Mexico,SSW MOR-TOL,TRUE,Ejido,"MALINALCO, MEXICO",1001,119,428,585000,230,585,1366.82243,266,10,14950,3143,913,0,2169,61,4343,5789,928,747
733,MELCHOR OCAMPO,Mexico,BOM,TRUE,Total,"MELCHOR OCAMPO, MEXICO",1120,0,312,328000,182,328,1051.282051,135,653,1723,1427,815,8,597,7,265,0,1,30
734,MELCHOR OCAMPO,Mexico,BOM,TRUE,Large,"MELCHOR OCAMPO, MEXICO",273,0,74,47000,66,47,635.1351351,4,11,376,327,187,0,135,5,42,0,1,6
735,MELCHOR OCAMPO,Mexico,BOM,TRUE,Small,"MELCHOR OCAMPO, MEXICO",207,0,153,162000,51,162,1058.823529,0,639,261,254,73,8,171,2,3,0,0,4
736,MELCHOR OCAMPO,Mexico,BOM,TRUE,Ejido,"MELCHOR OCAMPO, MEXICO",640,0,85,119000,65,119,1400,131,3,1086,846,555,0,291,0,220,0,0,20
737,METEPEC,Mexico,Toluca,TRUE,Total,"METEPEC, MEXICO",4623,0,4282,4424000,314,4424,1033.162074,3058,1732,5755,4942,444,66,4427,5,782,0,7,24
738,METEPEC,Mexico,Toluca,TRUE,Large,"METEPEC, MEXICO",1977,0,1842,1805000,311,1805,979.9131379,1832,91,2176,2153,441,66,1641,5,6,0,0,17
739,METEPEC,Mexico,Toluca,TRUE,Small,"METEPEC, MEXICO",1270,0,1264,1318000,3,1318,1042.721519,0,1633,1277,1270,3,0,1267,0,1,0,5,1
740,METEPEC,Mexico,Toluca,TRUE,Ejido,"METEPEC, MEXICO",1376,0,1176,1301000,0,1301,1106.292517,1226,8,2302,1519,0,0,1519,0,775,0,2,6
741,MEXICALTZINGO,Mexico,BOM,TRUE,Total,"MEXICALTZINGO, MEXICO",536,0,536,529000,45,529,986.9402985,45,363,1168,629,45,0,584,0,502,0,8,29
742,MEXICALTZINGO,Mexico,BOM,TRUE,Large,"MEXICALTZINGO, MEXICO",45,0,45,24000,45,24,533.3333333,45,2,550,45,45,0,0,0,500,0,0,5
743,MEXICALTZINGO,Mexico,BOM,TRUE,Small,"MEXICALTZINGO, MEXICO",413,0,413,433000,0,433,1048.42615,0,360,428,426,0,0,426,0,2,0,0,0
744,MEXICALTZINGO,Mexico,BOM,TRUE,Ejido,"MEXICALTZINGO, MEXICO",78,0,78,72000,0,72,923.0769231,0,1,190,158,0,0,158,0,0,0,8,24
745,MORELOS,Mexico,Toluca,TRUE,Total,"MORELOS, MEXICO",3724,14,2627,3296000,576,3296,1254.663114,1339,1970,18330,4839,700,185,3910,44,6696,4347,271,2177
746,MORELOS,Mexico,Toluca,TRUE,Large,"MORELOS, MEXICO",442,14,309,271000,159,271,877.0226537,169,59,6307,831,169,174,447,41,1671,3761,0,44
747,MORELOS,Mexico,Toluca,TRUE,Small,"MORELOS, MEXICO",998,0,880,931000,176,931,1057.954545,0,1901,1130,1129,221,1,906,1,1,0,0,0
748,MORELOS,Mexico,Toluca,TRUE,Ejido,"MORELOS, MEXICO",2284,0,1438,2094000,241,2094,1456.189152,1170,10,10893,2879,310,10,2557,2,5024,586,271,2133
749,NAUCALPAN DE JUAREZ,Mexico,BOM,TRUE,Total,"NAUCALPAN DE JUAREZ, MEXICO",1744,52,1420,1775000,66,1775,1250,359,654,9825,2421,344,3,2051,23,4470,1669,297,968
750,NAUCALPAN DE JUAREZ,Mexico,BOM,TRUE,Large,"NAUCALPAN DE JUAREZ, MEXICO",237,42,174,173000,8,173,994.2528736,7,27,780,411,24,0,369,18,210,87,4,68
751,NAUCALPAN DE JUAREZ,Mexico,BOM,TRUE,Small,"NAUCALPAN DE JUAREZ, MEXICO",209,0,170,169000,6,169,994.1176471,0,610,338,321,9,3,308,1,3,0,0,14
752,NAUCALPAN DE JUAREZ,Mexico,BOM,TRUE,Ejido,"NAUCALPAN DE JUAREZ, MEXICO",1298,10,1076,1433000,52,1433,1331.784387,352,17,8707,1689,311,0,1374,4,4257,1582,293,886
753,NEXTLALPAN,Mexico,BOM,TRUE,Total,"NEXTLALPAN, MEXICO",1391,139,906,878000,74,878,969.0949227,58,1476,5162,2158,327,0,1714,117,1800,35,26,1143
754,NEXTLALPAN,Mexico,BOM,TRUE,Large,"NEXTLALPAN, MEXICO",256,19,141,126000,29,126,893.6170213,13,58,1713,440,71,0,369,0,606,0,20,647
755,NEXTLALPAN,Mexico,BOM,TRUE,Small,"NEXTLALPAN, MEXICO",753,0,581,491000,0,491,845.0946644,0,1415,1289,1193,0,0,1076,117,20,0,1,75
756,NEXTLALPAN,Mexico,BOM,TRUE,Ejido,"NEXTLALPAN, MEXICO",382,120,184,261000,45,261,1418.478261,45,3,2160,525,256,0,269,0,1174,35,5,421
757,NICOLAS ROMERO,Mexico,BOM,TRUE,Total,"NICOLAS ROMERO, MEXICO",3987,11,2650,2457000,580,2457,927.1698113,1311,1913,24183,6022,769,1,4920,332,6872,9846,1004,439
758,NICOLAS ROMERO,Mexico,BOM,TRUE,Large,"NICOLAS ROMERO, MEXICO",224,11,193,180000,54,180,932.642487,141,60,8448,464,62,0,251,151,204,7476,0,304
759,NICOLAS ROMERO,Mexico,BOM,TRUE,Small,"NICOLAS ROMERO, MEXICO",1165,0,746,729000,276,729,977.2117962,0,1845,1509,1501,407,1,1082,11,7,0,0,1
760,NICOLAS ROMERO,Mexico,BOM,TRUE,Ejido,"NICOLAS ROMERO, MEXICO",2598,0,1711,1548000,250,1548,904.7340736,1170,8,14226,4057,300,0,3587,170,6661,2370,1004,134
761,NOPALTEPEC,Mexico,BOM,TRUE,Total,"NOPALTEPEC, MEXICO",3087,146,1745,2163000,0,2163,1239.541547,3,443,6677,4547,0,0,3622,925,1289,0,766,75
762,NOPALTEPEC,Mexico,BOM,TRUE,Large,"NOPALTEPEC, MEXICO",283,146,133,124000,0,124,932.3308271,3,48,1275,1270,0,0,648,622,0,0,5,0
763,NOPALTEPEC,Mexico,BOM,TRUE,Small,"NOPALTEPEC, MEXICO",284,0,158,159000,0,159,1006.329114,0,391,616,614,0,0,430,184,2,0,0,0
764,NOPALTEPEC,Mexico,BOM,TRUE,Ejido,"NOPALTEPEC, MEXICO",2520,0,1454,1880000,0,1880,1292.984869,0,4,4786,2663,0,0,2544,119,1287,0,761,75
765,OCOYOACAC,Mexico,Toluca,TRUE,Total,"OCOYOACAC, MEXICO",2006,0,2004,2508000,83,2508,1251.497006,385,2172,34867,2357,89,92,2117,59,2253,29250,0,1007
766,OCOYOACAC,Mexico,Toluca,TRUE,Large,"OCOYOACAC, MEXICO",566,0,499,599000,5,599,1200.400802,146,27,30528,729,6,92,576,55,1772,27360,0,667
767,OCOYOACAC,Mexico,Toluca,TRUE,Small,"OCOYOACAC, MEXICO",892,0,957,1306000,78,1306,1364.681296,0,2139,1082,1074,83,0,987,4,7,0,0,0
768,OCOYOACAC,Mexico,Toluca,TRUE,Ejido,"OCOYOACAC, MEXICO",548,0,548,603000,0,603,1100.364964,239,6,3258,554,0,0,554,0,474,1890,0,340
769,OCUILAN,Mexico,SSW MOR-TOL,TRUE,Total,"OCUILAN, MEXICO",2861,145,2326,2602000,194,2602,1118.658641,97,3628,4109,3173,337,3,2796,37,338,105,66,427
770,OCUILAN,Mexico,SSW MOR-TOL,TRUE,Large,"OCUILAN, MEXICO",49,2,38,35000,5,35,921.0526316,12,10,164,59,5,0,54,0,61,44,0,0
771,OCUILAN,Mexico,SSW MOR-TOL,TRUE,Small,"OCUILAN, MEXICO",2534,0,2130,2382000,31,2382,1118.309859,0,3615,2666,2654,56,3,2558,37,10,0,0,2
772,OCUILAN,Mexico,SSW MOR-TOL,TRUE,Ejido,"OCUILAN, MEXICO",278,143,158,185000,158,185,1170.886076,85,3,1279,460,276,0,184,0,267,61,66,425
773,EL ORO,Mexico,N TOL,TRUE,Total,"EL ORO, MEXICO",2285,23,1949,1643000,1096,1643,842.9964084,260,662,10753,3162,1188,99,1785,90,4457,2024,755,355
774,EL ORO,Mexico,N TOL,TRUE,Large,"EL ORO, MEXICO",161,22,103,90000,47,90,873.7864078,55,38,837,243,82,11,124,26,264,54,21,255
775,EL ORO,Mexico,N TOL,TRUE,Small,"EL ORO, MEXICO",234,0,197,138000,27,138,700.5076142,0,616,404,401,36,10,292,63,3,0,0,0
776,EL ORO,Mexico,N TOL,TRUE,Ejido,"EL ORO, MEXICO",1890,1,1649,1415000,1022,1415,858.0958156,205,8,9512,2518,1070,78,1369,1,4190,1970,734,100
777,OTUMBA,Mexico,BOM,TRUE,Total,"OTUMBA, MEXICO",3281,58,2171,1618000,0,1618,745.2786734,1024,1523,15372,7488,0,0,6550,938,3391,1695,867,1931
778,OTUMBA,Mexico,BOM,TRUE,Large,"OTUMBA, MEXICO",535,58,306,242000,0,242,790.8496732,1024,81,2446,1533,0,0,1019,514,763,0,0,150
779,OTUMBA,Mexico,BOM,TRUE,Small,"OTUMBA, MEXICO",1372,0,871,655000,0,655,752.0091848,0,1430,1944,1917,0,0,1916,1,1,0,13,13
780,OTUMBA,Mexico,BOM,TRUE,Ejido,"OTUMBA, MEXICO",1374,0,994,721000,0,721,725.3521127,0,12,10982,4038,0,0,3615,423,2627,1695,854,1768
781,OTZOLOAPAN,Mexico,WEST TOLUCA,FALSE,Total,"OTZOLOAPAN, MEXICO",882,962,754,593000,18,593,786.4721485,44,215,5096,2718,13,147,2537,21,1180,904,29,265
782,OTZOLOAPAN,Mexico,WEST TOLUCA,FALSE,Large,"OTZOLOAPAN, MEXICO",642,962,521,410000,18,410,786.9481766,42,162,4594,2410,8,127,2257,18,1040,877,2,265
783,OTZOLOAPAN,Mexico,WEST TOLUCA,FALSE,Small,"OTZOLOAPAN, MEXICO",131,0,124,124000,0,124,1000,0,52,143,143,5,20,115,3,0,0,0,0
784,OTZOLOAPAN,Mexico,WEST TOLUCA,FALSE,Ejido,"OTZOLOAPAN, MEXICO",109,0,109,59000,0,59,541.2844037,2,1,359,165,0,0,165,0,140,27,27,0
785,OTZOLOTEPEC,Mexico,Toluca,TRUE,Total,"OTZOLOTEPEC, MEXICO",2064,201,2022,2429000,1666,2429,1201.285856,601,1240,5175,3793,2342,12,1439,0,734,400,77,171
786,OTZOLOTEPEC,Mexico,Toluca,TRUE,Large,"OTZOLOTEPEC, MEXICO",379,20,385,563000,214,563,1462.337662,151,25,1141,635,308,12,315,0,91,400,0,15
787,OTZOLOTEPEC,Mexico,Toluca,TRUE,Small,"OTZOLOTEPEC, MEXICO",402,0,579,713000,416,713,1231.433506,0,1206,659,654,488,0,166,0,5,0,0,0
788,OTZOLOTEPEC,Mexico,Toluca,TRUE,Ejido,"OTZOLOTEPEC, MEXICO",1283,181,1058,1153000,1036,1153,1089.79206,450,9,3375,2504,1546,0,958,0,638,0,77,156
789,OZUMBA,Mexico,BOM,TRUE,Total,"OZUMBA, MEXICO",2192,174,1880,1490000,0,1490,792.5531915,174,1568,4474,3397,0,281,3082,34,410,410,201,56
790,OZUMBA,Mexico,BOM,TRUE,Large,"OZUMBA, MEXICO",267,60,244,188000,0,188,770.4918033,4,46,793,489,0,13,475,1,107,173,0,24
791,OZUMBA,Mexico,BOM,TRUE,Small,"OZUMBA, MEXICO",1056,0,954,825000,0,825,864.7798742,0,1519,1595,1585,0,6,1546,33,0,5,0,5
792,OZUMBA,Mexico,BOM,TRUE,Ejido,"OZUMBA, MEXICO",869,114,682,477000,0,477,699.4134897,170,3,2086,1323,0,262,1061,0,303,232,201,27
793,PAPALOTLA,Mexico,BOM,TRUE,Total,"PAPALOTLA, MEXICO",320,0,177,153000,3,153,864.4067797,0,159,383,382,91,20,269,2,0,0,0,1
794,PAPALOTLA,Mexico,BOM,TRUE,Large,"PAPALOTLA, MEXICO",106,0,0,0,0,0,,0,2,107,106,84,20,2,0,0,0,0,1
795,PAPALOTLA,Mexico,BOM,TRUE,Small,"PAPALOTLA, MEXICO",143,0,130,125000,3,125,961.5384615,0,156,192,192,7,0,183,2,0,0,0,0
796,PAPALOTLA,Mexico,BOM,TRUE,Ejido,"PAPALOTLA, MEXICO",71,0,47,28000,0,28,595.7446809,0,1,84,84,0,0,84,0,0,0,0,0
797,LA PAZ,Mexico,BOM,TRUE,Total,"LA PAZ, MEXICO",1183,50,816,592000,1,592,725.4901961,12,874,2286,1858,1,5,1852,0,173,0,38,217
798,LA PAZ,Mexico,BOM,TRUE,Large,"LA PAZ, MEXICO",17,0,17,11000,0,11,647.0588235,12,7,307,125,0,0,125,0,68,0,0,114
799,LA PAZ,Mexico,BOM,TRUE,Small,"LA PAZ, MEXICO",333,0,319,256000,1,256,802.507837,0,864,474,378,1,5,372,0,30,0,0,66
800,LA PAZ,Mexico,BOM,TRUE,Ejido,"LA PAZ, MEXICO",833,50,480,325000,0,325,677.0833333,0,3,1505,1355,0,0,1355,0,75,0,38,37
801,POLOTITLAN,Mexico,N TOL,TRUE,Total,"POLOTITLAN, MEXICO",3881,504,2451,2369000,2235,2369,966.5442676,582,360,13781,5965,5355,0,589,21,4216,1695,49,1856
802,POLOTITLAN,Mexico,N TOL,TRUE,Large,"POLOTITLAN, MEXICO",1814,504,1210,1063000,1209,1063,878.5123967,260,151,6502,2425,2122,0,282,21,3589,0,17,471
803,POLOTITLAN,Mexico,N TOL,TRUE,Small,"POLOTITLAN, MEXICO",364,0,347,418000,143,418,1204.610951,0,199,424,424,268,0,156,0,0,0,0,0
804,POLOTITLAN,Mexico,N TOL,TRUE,Ejido,"POLOTITLAN, MEXICO",1703,0,894,888000,883,888,993.2885906,322,10,6855,3116,2965,0,151,0,627,1695,32,1385
805,RAYON,Mexico,Toluca,TRUE,Total,"RAYON, MEXICO",1027,60,997,1140000,67,1140,1143.430291,1896,850,1830,1217,82,25,1110,0,333,0,280,0
806,RAYON,Mexico,Toluca,TRUE,Large,"RAYON, MEXICO",372,60,349,358000,67,358,1025.787966,1895,15,552,484,82,20,382,0,68,0,0,0
807,RAYON,Mexico,Toluca,TRUE,Small,"RAYON, MEXICO",527,0,520,676000,0,676,1300,0,833,530,527,0,5,522,0,3,0,0,0
808,RAYON,Mexico,Toluca,TRUE,Ejido,"RAYON, MEXICO",128,0,128,106000,0,106,828.125,1,2,748,206,0,0,206,0,262,0,280,0
809,SAN ANTONIO LA ISLA,Mexico,Toluca,TRUE,Total,"SAN ANTONIO LA ISLA, MEXICO",948,2,913,910000,32,910,996.7141292,393,258,1307,985,50,33,902,0,287,0,35,0
810,SAN ANTONIO LA ISLA,Mexico,Toluca,TRUE,Large,"SAN ANTONIO LA ISLA, MEXICO",449,2,424,414000,32,414,976.4150943,227,25,614,475,50,24,401,0,139,0,0,0
811,SAN ANTONIO LA ISLA,Mexico,Toluca,TRUE,Small,"SAN ANTONIO LA ISLA, MEXICO",254,0,244,292000,0,292,1196.721311,0,231,254,254,0,9,245,0,0,0,0,0
812,SAN ANTONIO LA ISLA,Mexico,Toluca,TRUE,Ejido,"SAN ANTONIO LA ISLA, MEXICO",245,0,245,204000,0,204,832.6530612,166,2,439,256,0,0,256,0,148,0,35,0
813,SAN FELIPE DEL PROGRESO,Mexico,Toluca,TRUE,Total,"SAN FELIPE DEL PROGRESO, MEXICO",15053,996,12974,10869000,2421,10869,837.7524279,9593,2297,74619,22181,3490,147,17365,1179,20546,14528,12324,5038
814,SAN FELIPE DEL PROGRESO,Mexico,Toluca,TRUE,Large,"SAN FELIPE DEL PROGRESO, MEXICO",2130,217,1661,1531000,192,1531,921.7338952,1717,510,18791,3144,173,11,2389,571,8087,3749,1757,2054
815,SAN FELIPE DEL PROGRESO,Mexico,Toluca,TRUE,Small,"SAN FELIPE DEL PROGRESO, MEXICO",1250,734,1202,1026000,40,1026,853.577371,0,1700,2065,1990,44,0,1940,6,73,0,2,0
816,SAN FELIPE DEL PROGRESO,Mexico,Toluca,TRUE,Ejido,"SAN FELIPE DEL PROGRESO, MEXICO",11673,45,10111,8312000,2189,8312,822.0749679,7876,87,53763,17047,3273,136,13036,602,12388,10779,10565,2984
817,SAN MARTIN DE LAS PIRAMIDES,Mexico,BOM,TRUE,Total,"SAN MARTIN DE LAS PIRAMIDES, MEXICO",2248,275,1750,1306000,3,1306,746.2857143,716,1776,5624,3441,16,1,3374,50,1543,0,355,285
818,SAN MARTIN DE LAS PIRAMIDES,Mexico,BOM,TRUE,Large,"SAN MARTIN DE LAS PIRAMIDES, MEXICO",260,77,103,72000,2,72,699.0291262,0,36,1198,392,8,0,378,6,797,0,0,9
819,SAN MARTIN DE LAS PIRAMIDES,Mexico,BOM,TRUE,Small,"SAN MARTIN DE LAS PIRAMIDES, MEXICO",948,179,794,685000,1,685,862.720403,0,1733,1209,1130,1,1,1125,3,27,0,46,6
820,SAN MARTIN DE LAS PIRAMIDES,Mexico,BOM,TRUE,Ejido,"SAN MARTIN DE LAS PIRAMIDES, MEXICO",1040,19,853,549000,0,549,643.6107855,716,7,3217,1919,7,0,1871,41,719,0,309,270
821,SAN MATEO ATENCO,Mexico,Toluca,TRUE,Total,"SAN MATEO ATENCO, MEXICO",1298,441,1322,1310000,0,1310,990.9228442,536,1050,1958,1796,0,4,1792,0,161,0,0,1
822,SAN MATEO ATENCO,Mexico,Toluca,TRUE,Large,"SAN MATEO ATENCO, MEXICO",48,5,74,68000,0,68,918.9189189,59,16,215,53,0,0,53,0,161,0,0,1
823,SAN MATEO ATENCO,Mexico,Toluca,TRUE,Small,"SAN MATEO ATENCO, MEXICO",544,0,542,624000,0,624,1151.291513,0,1033,544,544,0,4,540,0,0,0,0,0
824,SAN MATEO ATENCO,Mexico,Toluca,TRUE,Ejido,"SAN MATEO ATENCO, MEXICO",706,436,706,618000,0,618,875.3541076,477,1,1199,1199,0,0,1199,0,0,0,0,0
825,SAN SIMON DE GUERRERO,Mexico,WEST TOLUCA,FALSE,Total,"SAN SIMON DE GUERRERO, MEXICO",697,255,648,478000,1,478,737.654321,0,504,1047,953,6,0,947,0,55,39,0,0
826,SAN SIMON DE GUERRERO,Mexico,WEST TOLUCA,FALSE,Large,"SAN SIMON DE GUERRERO, MEXICO",52,7,54,53000,0,53,981.4814815,0,6,154,60,4,0,56,0,55,39,0,0
827,SAN SIMON DE GUERRERO,Mexico,WEST TOLUCA,FALSE,Small,"SAN SIMON DE GUERRERO, MEXICO",645,248,594,425000,1,425,715.4882155,0,498,893,893,2,0,891,0,0,0,0,0
828,SAN SIMON DE GUERRERO,Mexico,WEST TOLUCA,FALSE,Ejido,"SAN SIMON DE GUERRERO, MEXICO",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
829,SANTO TOMAS,Mexico,WEST TOLUCA,FALSE,Total,"SANTO TOMAS, MEXICO",1388,2312,1232,970000,47,970,787.3376623,409,121,8082,3874,102,0,3651,121,2610,430,222,946
830,SANTO TOMAS,Mexico,WEST TOLUCA,FALSE,Large,"SANTO TOMAS, MEXICO",770,1431,696,565000,0,565,811.7816092,0,88,4250,2279,2,0,2199,78,745,280,0,946
831,SANTO TOMAS,Mexico,WEST TOLUCA,FALSE,Small,"SANTO TOMAS, MEXICO",13,30,13,9000,0,9,692.3076923,0,26,67,56,3,0,39,14,11,0,0,0
832,SANTO TOMAS,Mexico,WEST TOLUCA,FALSE,Ejido,"SANTO TOMAS, MEXICO",605,851,523,396000,47,396,757.1701721,409,7,3765,1539,97,0,1413,29,1854,150,222,0
833,SOYANIQUILPAN DE JUAREZ,Mexico,N TOL,TRUE,Total,"SOYANIQUILPAN DE JUAREZ, MEXICO",3344,736,2881,3447000,724,3447,1196.459563,1721,644,11334,4221,1447,0,2763,11,5300,34,972,807
834,SOYANIQUILPAN DE JUAREZ,Mexico,N TOL,TRUE,Large,"SOYANIQUILPAN DE JUAREZ, MEXICO",401,98,422,345000,72,345,817.535545,78,113,3963,502,56,0,443,3,1987,34,0,540
835,SOYANIQUILPAN DE JUAREZ,Mexico,N TOL,TRUE,Small,"SOYANIQUILPAN DE JUAREZ, MEXICO",512,228,535,433000,123,433,809.3457944,0,524,837,740,147,0,592,1,28,0,0,69
836,SOYANIQUILPAN DE JUAREZ,Mexico,N TOL,TRUE,Ejido,"SOYANIQUILPAN DE JUAREZ, MEXICO",2431,410,1924,2669000,529,2669,1387.214137,1643,7,7434,2979,1244,0,1728,7,3285,0,972,198
837,SULTEPEC,Mexico,WEST TOLUCA,FALSE,Total,"SULTEPEC, MEXICO",2111,5352,1842,1422000,3,1422,771.9869707,140,851,18517,7543,4,0,7520,19,2140,7537,2,1295
838,SULTEPEC,Mexico,WEST TOLUCA,FALSE,Large,"SULTEPEC, MEXICO",899,5141,883,700000,3,700,792.7519819,140,288,17094,6120,4,0,6097,19,2140,7537,2,1295
839,SULTEPEC,Mexico,WEST TOLUCA,FALSE,Small,"SULTEPEC, MEXICO",1212,211,959,722000,0,722,752.8675704,0,563,1423,1423,0,0,1423,0,0,0,0,0
840,SULTEPEC,Mexico,WEST TOLUCA,FALSE,Ejido,"SULTEPEC, MEXICO",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
841,TECAMAC,Mexico,BOM,TRUE,Total,"TECAMAC, MEXICO",5090,3234,3381,3134000,471,3134,926.9446909,2164,2604,13583,8940,662,13,8221,44,3445,0,924,274
842,TECAMAC,Mexico,BOM,TRUE,Large,"TECAMAC, MEXICO",1097,2312,587,647000,293,647,1102.214651,709,58,3739,3543,434,0,3096,13,84,0,0,112
843,TECAMAC,Mexico,BOM,TRUE,Small,"TECAMAC, MEXICO",1840,392,1253,1219000,178,1219,972.8651237,0,2535,2346,2255,228,13,1991,23,19,0,1,71
844,TECAMAC,Mexico,BOM,TRUE,Ejido,"TECAMAC, MEXICO",2153,530,1541,1268000,0,1268,822.8423102,1455,11,7489,3142,0,0,3134,8,3342,0,923,91
845,TEJUPILCO,Mexico,WEST TOLUCA,FALSE,Total,"TEJUPILCO, MEXICO",7381,8690,6940,5370000,182,5370,773.7752161,4016,2007,35327,16577,236,31,16215,95,9403,7065,1015,1267
846,TEJUPILCO,Mexico,WEST TOLUCA,FALSE,Large,"TEJUPILCO, MEXICO",1878,2893,1800,1246000,171,1246,692.2222222,1332,326,13770,4937,177,31,4699,30,3588,4182,68,995
847,TEJUPILCO,Mexico,WEST TOLUCA,FALSE,Small,"TEJUPILCO, MEXICO",1532,2393,1538,1353000,11,1353,879.7139142,0,1672,3994,3985,26,0,3899,60,9,0,0,0
848,TEJUPILCO,Mexico,WEST TOLUCA,FALSE,Ejido,"TEJUPILCO, MEXICO",3971,3404,3602,2771000,0,2771,769.2948362,2684,9,17563,7655,33,0,7617,5,5806,2883,947,272
849,TEMAMATLA,Mexico,BOM,TRUE,Total,"TEMAMATLA, MEXICO",1283,98,1052,874000,30,874,830.7984791,95,271,2611,1392,296,0,1096,0,1216,0,0,3
850,TEMAMATLA,Mexico,BOM,TRUE,Large,"TEMAMATLA, MEXICO",75,28,38,41000,0,41,1078.947368,78,5,132,104,31,0,73,0,26,0,0,2
851,TEMAMATLA,Mexico,BOM,TRUE,Small,"TEMAMATLA, MEXICO",329,14,323,393000,0,393,1216.718266,0,264,344,343,0,0,343,0,0,0,0,1
852,TEMAMATLA,Mexico,BOM,TRUE,Ejido,"TEMAMATLA, MEXICO",879,56,691,440000,30,440,636.7583213,17,2,2135,945,265,0,680,0,1190,0,0,0
853,TEMASCALAPA,Mexico,BOM,TRUE,Total,"TEMASCALAPA, MEXICO",6252,525,2828,2044000,22,2044,722.7722772,113,557,13424,7790,23,287,7040,440,5056,0,72,506
854,TEMASCALAPA,Mexico,BOM,TRUE,Large,"TEMASCALAPA, MEXICO",2436,126,910,787000,22,787,864.8351648,13,139,3992,3021,23,97,2507,394,706,0,72,193
855,TEMASCALAPA,Mexico,BOM,TRUE,Small,"TEMASCALAPA, MEXICO",719,262,507,446000,0,446,879.6844181,0,407,993,982,0,0,981,1,8,0,0,3
856,TEMASCALAPA,Mexico,BOM,TRUE,Ejido,"TEMASCALAPA, MEXICO",3097,137,1411,811000,0,811,574.7696669,100,11,8439,3787,0,190,3552,45,4342,0,0,310
