ORD,Location,State,Region,INCLUDE,Size,NOM,Harvested_ha,Fallow_ha,Maize1960_ha,Maize1960_kg,MaizeIrr1960_ha,Maize1960_t,Maize1960_kgha,Fert_ha,Properties,Properties_ha,Cultiv_ha,Irrigated_ha,Humedad_ha,Temporal_ha,FPA_ha,Pasture_ha,Forest_ha,UncultivArable_ha,Inarable_ha
36,ACACOYAGUA,Chiapas,,FALSE,Ejido,"ACACOYAGUA, CHIAPAS",778,1631,692,565000,0,565,816.4739884,68,,,0,,,,,,,,
37,ACALA,Chiapas,,FALSE,Total,"ACALA, CHIAPAS",6880,45,6493,6508000,35,6508,1002.31018,2744,,,0,,,,,,,,
38,ACALA,Chiapas,,FALSE,Large,"ACALA, CHIAPAS",5509,45,5169,5336000,20,5336,1032.30799,22,,,0,,,,,,,,
39,ACALA,Chiapas,,FALSE,Small,"ACALA, CHIAPAS",230,0,194,317000,4,317,1634.020619,0,,,0,,,,,,,,
40,ACALA,Chiapas,,FALSE,Ejido,"ACALA, CHIAPAS",1141,0,1130,855000,11,855,756.6371681,2722,,,0,,,,,,,,
41,ACAPETAHUA,Chiapas,,FALSE,Total,"ACAPETAHUA, CHIAPAS",2289,1207,1954,1800000,229,1800,921.1873081,316,,,0,,,,,,,,
42,ACAPETAHUA,Chiapas,,FALSE,Large,"ACAPETAHUA, CHIAPAS",826,164,778,826000,0,826,1061.696658,16,,,0,,,,,,,,
43,ACAPETAHUA,Chiapas,,FALSE,Small,"ACAPETAHUA, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
44,ACAPETAHUA,Chiapas,,FALSE,Ejido,"ACAPETAHUA, CHIAPAS",1463,1043,1176,974000,229,974,828.2312925,300,,,0,,,,,,,,
45,ALTAMIRANO,Chiapas,,FALSE,Total,"ALTAMIRANO, CHIAPAS",2373,2230,1976,1817000,1,1817,919.534413,2,,,0,,,,,,,,
46,ALTAMIRANO,Chiapas,,FALSE,Large,"ALTAMIRANO, CHIAPAS",669,215,709,659000,1,659,929.4781382,2,,,0,,,,,,,,
47,ALTAMIRANO,Chiapas,,FALSE,Small,"ALTAMIRANO, CHIAPAS",10,0,7,9000,0,9,1285.714286,0,,,0,,,,,,,,
48,ALTAMIRANO,Chiapas,,FALSE,Ejido,"ALTAMIRANO, CHIAPAS",1694,2015,1260,1149000,0,1149,911.9047619,0,,,0,,,,,,,,
49,AMATAN,Chiapas,,FALSE,Total,"AMATAN, CHIAPAS",2731,1043,2215,1523000,0,1523,687.5846501,58,,,0,,,,,,,,
50,AMATAN,Chiapas,,FALSE,Large,"AMATAN, CHIAPAS",585,60,449,336000,0,336,748.3296214,58,,,0,,,,,,,,
51,AMATAN,Chiapas,,FALSE,Small,"AMATAN, CHIAPAS",16,0,4,3000,0,3,750,0,,,0,,,,,,,,
52,AMATAN,Chiapas,,FALSE,Ejido,"AMATAN, CHIAPAS",2130,983,1762,1184000,0,1184,671.9636776,0,,,0,,,,,,,,
53,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Total,"AMATENANGO DE LA FRONTERA, CHIAPAS",2274,1063,1853,1630000,166,1630,879.6546141,0,,,0,,,,,,,,
54,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Large,"AMATENANGO DE LA FRONTERA, CHIAPAS",65,78,50,65000,42,65,1300,0,,,0,,,,,,,,
55,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Small,"AMATENANGO DE LA FRONTERA, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
56,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Ejido,"AMATENANGO DE LA FRONTERA, CHIAPAS",2209,985,1803,1565000,124,1565,867.9977815,0,,,0,,,,,,,,
57,AMATENANGO DEL VALLE,Chiapas,,FALSE,Total,"AMATENANGO DEL VALLE, CHIAPAS",1164,3,763,714000,222,714,935.7798165,1,,,0,,,,,,,,
58,AMATENANGO DEL VALLE,Chiapas,,FALSE,Large,"AMATENANGO DEL VALLE, CHIAPAS",215,3,182,164000,6,164,901.0989011,1,,,0,,,,,,,,
59,AMATENANGO DEL VALLE,Chiapas,,FALSE,Small,"AMATENANGO DEL VALLE, CHIAPAS",219,0,182,200000,176,200,1098.901099,0,,,0,,,,,,,,
60,AMATENANGO DEL VALLE,Chiapas,,FALSE,Ejido,"AMATENANGO DEL VALLE, CHIAPAS",730,0,399,350000,40,350,877.1929825,0,,,0,,,,,,,,
61,ANGEL ALBINO CORZO,Chiapas,,FALSE,Total,"ANGEL ALBINO CORZO, CHIAPAS",2125,1620,1849,1568000,0,1568,848.02596,55,,,0,,,,,,,,
62,ANGEL ALBINO CORZO,Chiapas,,FALSE,Large,"ANGEL ALBINO CORZO, CHIAPAS",156,0,152,189000,0,189,1243.421053,55,,,0,,,,,,,,
63,ANGEL ALBINO CORZO,Chiapas,,FALSE,Small,"ANGEL ALBINO CORZO, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
64,ANGEL ALBINO CORZO,Chiapas,,FALSE,Ejido,"ANGEL ALBINO CORZO, CHIAPAS",1969,1620,1697,1379000,0,1379,812.6104891,0,,,0,,,,,,,,
65,ARRIAGA,Chiapas,,FALSE,Total,"ARRIAGA, CHIAPAS",3931,0,2942,2469000,2,2469,839.225017,0,,,0,,,,,,,,
66,ARRIAGA,Chiapas,,FALSE,Large,"ARRIAGA, CHIAPAS",1205,0,985,1029000,0,1029,1044.670051,0,,,0,,,,,,,,
67,ARRIAGA,Chiapas,,FALSE,Small,"ARRIAGA, CHIAPAS",12,0,5,7000,2,7,1400,0,,,0,,,,,,,,
68,ARRIAGA,Chiapas,,FALSE,Ejido,"ARRIAGA, CHIAPAS",2714,0,1952,1433000,0,1433,734.1188525,0,,,0,,,,,,,,
69,BEJUCAL DE OCAMPO,Chiapas,,FALSE,Total,"BEJUCAL DE OCAMPO, CHIAPAS",916,0,810,741000,0,741,914.8148148,41,,,0,,,,,,,,
70,BEJUCAL DE OCAMPO,Chiapas,,FALSE,Large,"BEJUCAL DE OCAMPO, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
71,BEJUCAL DE OCAMPO,Chiapas,,FALSE,Small,"BEJUCAL DE OCAMPO, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
72,BEJUCAL DE OCAMPO,Chiapas,,FALSE,Ejido,"BEJUCAL DE OCAMPO, CHIAPAS",916,0,810,741000,0,741,914.8148148,41,,,0,,,,,,,,
73,BELLA VISTA,Chiapas,,FALSE,Total,"BELLA VISTA, CHIAPAS",4625,5312,3778,3602000,0,3602,953.414505,141,,,0,,,,,,,,
74,BELLA VISTA,Chiapas,,FALSE,Large,"BELLA VISTA, CHIAPAS",15,0,17,14000,0,14,823.5294118,1,,,0,,,,,,,,
75,BELLA VISTA,Chiapas,,FALSE,Small,"BELLA VISTA, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
76,BELLA VISTA,Chiapas,,FALSE,Ejido,"BELLA VISTA, CHIAPAS",4610,5312,3761,3588000,0,3588,954.0015953,140,,,0,,,,,,,,
77,BERRIOZABAL,Chiapas,,FALSE,Total,"BERRIOZABAL, CHIAPAS",2896,671,2614,2489000,0,2489,952.1805662,660,,,0,,,,,,,,
78,BERRIOZABAL,Chiapas,,FALSE,Large,"BERRIOZABAL, CHIAPAS",1030,23,872,780000,0,780,894.4954128,1,,,0,,,,,,,,
79,BERRIOZABAL,Chiapas,,FALSE,Small,"BERRIOZABAL, CHIAPAS",2,0,2,2000,0,2,1000,0,,,0,,,,,,,,
80,BERRIOZABAL,Chiapas,,FALSE,Ejido,"BERRIOZABAL, CHIAPAS",1864,648,1740,1707000,0,1707,981.0344828,659,,,0,,,,,,,,
81,BOCHIL,Chiapas,,FALSE,Total,"BOCHIL, CHIAPAS",2982,3198,2630,2185000,36,2185,830.7984791,36,,,0,,,,,,,,
82,BOCHIL,Chiapas,,FALSE,Large,"BOCHIL, CHIAPAS",1108,2487,1146,1014000,2,1014,884.8167539,2,,,0,,,,,,,,
83,BOCHIL,Chiapas,,FALSE,Small,"BOCHIL, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
84,BOCHIL,Chiapas,,FALSE,Ejido,"BOCHIL, CHIAPAS",1874,711,1484,1171000,34,1171,789.083558,34,,,0,,,,,,,,
85,EL BOSQUE,Chiapas,,FALSE,Total,"EL BOSQUE, CHIAPAS",1620,1755,1468,1304000,0,1304,888.2833787,2,,,0,,,,,,,,
86,EL BOSQUE,Chiapas,,FALSE,Large,"EL BOSQUE, CHIAPAS",1056,407,976,905000,0,905,927.2540984,2,,,0,,,,,,,,
87,EL BOSQUE,Chiapas,,FALSE,Small,"EL BOSQUE, CHIAPAS",25,0,25,17000,0,17,680,0,,,0,,,,,,,,
88,EL BOSQUE,Chiapas,,FALSE,Ejido,"EL BOSQUE, CHIAPAS",539,1348,467,382000,0,382,817.987152,0,,,0,,,,,,,,
89,CACAHOATAN,Chiapas,,FALSE,Total,"CACAHOATAN, CHIAPAS",668,565,639,450000,0,450,704.2253521,86,,,0,,,,,,,,
90,CACAHOATAN,Chiapas,,FALSE,Large,"CACAHOATAN, CHIAPAS",78,7,58,56000,0,56,965.5172414,3,,,0,,,,,,,,
91,CACAHOATAN,Chiapas,,FALSE,Small,"CACAHOATAN, CHIAPAS",0,0,1,0,0,0,0,0,,,0,,,,,,,,
92,CACAHOATAN,Chiapas,,FALSE,Ejido,"CACAHOATAN, CHIAPAS",590,558,580,394000,0,394,679.3103448,83,,,0,,,,,,,,
93,CATAZAJA,Chiapas,,FALSE,Total,"CATAZAJA, CHIAPAS",1711,145,1174,862000,6,862,734.241908,71,,,0,,,,,,,,
94,CATAZAJA,Chiapas,,FALSE,Large,"CATAZAJA, CHIAPAS",215,33,159,167000,0,167,1050.314465,2,,,0,,,,,,,,
95,CATAZAJA,Chiapas,,FALSE,Small,"CATAZAJA, CHIAPAS",25,0,17,17000,6,17,1000,0,,,0,,,,,,,,
96,CATAZAJA,Chiapas,,FALSE,Ejido,"CATAZAJA, CHIAPAS",1471,112,998,678000,0,678,679.3587174,69,,,0,,,,,,,,
97,CINTALAPA,Chiapas,,FALSE,Total,"CINTALAPA, CHIAPAS",16337,3521,12187,11001000,54,11001,902.683187,155,,,0,,,,,,,,
98,CINTALAPA,Chiapas,,FALSE,Large,"CINTALAPA, CHIAPAS",10013,3095,7684,7058000,50,7058,918.5320146,21,,,0,,,,,,,,
99,CINTALAPA,Chiapas,,FALSE,Small,"CINTALAPA, CHIAPAS",59,0,54,48000,0,48,888.8888889,0,,,0,,,,,,,,
100,CINTALAPA,Chiapas,,FALSE,Ejido,"CINTALAPA, CHIAPAS",6265,426,4449,3895000,4,3895,875.4776354,134,,,0,,,,,,,,
101,COAPILLA,Chiapas,,FALSE,Total,"COAPILLA, CHIAPAS",1318,28,949,670000,0,670,706.0063224,0,,,0,,,,,,,,
102,COAPILLA,Chiapas,,FALSE,Large,"COAPILLA, CHIAPAS",79,18,82,60000,0,60,731.7073171,0,,,0,,,,,,,,
103,COAPILLA,Chiapas,,FALSE,Small,"COAPILLA, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
104,COAPILLA,Chiapas,,FALSE,Ejido,"COAPILLA, CHIAPAS",1239,10,867,610000,0,610,703.5755479,0,,,0,,,,,,,,
105,COMITAN DE DOMINGUEZ,Chiapas,,FALSE,Total,"COMITAN DE DOMINGUEZ, CHIAPAS",5078,317,4692,3687000,107,3687,785.8056266,25,,,0,,,,,,,,
106,COMITAN DE DOMINGUEZ,Chiapas,,FALSE,Large,"COMITAN DE DOMINGUEZ, CHIAPAS",2460,54,2543,2086000,67,2086,820.2909949,1,,,0,,,,,,,,
107,COMITAN DE DOMINGUEZ,Chiapas,,FALSE,Small,"COMITAN DE DOMINGUEZ, CHIAPAS",343,0,336,236000,3,236,702.3809524,0,,,0,,,,,,,,
108,COMITAN DE DOMINGUEZ,Chiapas,,FALSE,Ejido,"COMITAN DE DOMINGUEZ, CHIAPAS",2275,263,1813,1365000,37,1365,752.8957529,24,,,0,,,,,,,,
109,LA CONCORDIA,Chiapas,,FALSE,Total,"LA CONCORDIA, CHIAPAS",6274,1482,4625,3892000,0,3892,841.5135135,4,,,0,,,,,,,,
110,LA CONCORDIA,Chiapas,,FALSE,Large,"LA CONCORDIA, CHIAPAS",1470,60,1082,1196000,0,1196,1105.360444,4,,,0,,,,,,,,
111,LA CONCORDIA,Chiapas,,FALSE,Small,"LA CONCORDIA, CHIAPAS",11,0,8,9000,0,9,1125,0,,,0,,,,,,,,
112,LA CONCORDIA,Chiapas,,FALSE,Ejido,"LA CONCORDIA, CHIAPAS",4793,1422,3535,2687000,0,2687,760.1131542,0,,,0,,,,,,,,
113,COPAINALA,Chiapas,,FALSE,Total,"COPAINALA, CHIAPAS",1438,284,1216,889000,5,889,731.0855263,1,,,0,,,,,,,,
114,COPAINALA,Chiapas,,FALSE,Large,"COPAINALA, CHIAPAS",486,213,480,370000,0,370,770.8333333,1,,,0,,,,,,,,
115,COPAINALA,Chiapas,,FALSE,Small,"COPAINALA, CHIAPAS",139,0,17,16000,5,16,941.1764706,0,,,0,,,,,,,,
116,COPAINALA,Chiapas,,FALSE,Ejido,"COPAINALA, CHIAPAS",813,71,719,503000,0,503,699.5827538,0,,,0,,,,,,,,
117,CHALCHIHUITAN,Chiapas,,FALSE,Total,"CHALCHIHUITAN, CHIAPAS",2513,0,2361,1715000,0,1715,726.3871241,0,,,0,,,,,,,,
118,CHALCHIHUITAN,Chiapas,,FALSE,Large,"CHALCHIHUITAN, CHIAPAS",2513,0,2361,1715000,0,1715,726.3871241,0,,,0,,,,,,,,
119,CHALCHIHUITAN,Chiapas,,FALSE,Small,"CHALCHIHUITAN, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
120,CHALCHIHUITAN,Chiapas,,FALSE,Ejido,"CHALCHIHUITAN, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
121,CHAMULA,Chiapas,,FALSE,Total,"CHAMULA, CHIAPAS",4448,90,3416,2803000,0,2803,820.5503513,0,,,0,,,,,,,,
122,CHAMULA,Chiapas,,FALSE,Large,"CHAMULA, CHIAPAS",404,90,331,315000,0,315,951.6616314,0,,,0,,,,,,,,
123,CHAMULA,Chiapas,,FALSE,Small,"CHAMULA, CHIAPAS",2823,0,2109,1738000,0,1738,824.0872451,0,,,0,,,,,,,,
124,CHAMULA,Chiapas,,FALSE,Ejido,"CHAMULA, CHIAPAS",1221,0,976,750000,0,750,768.442623,0,,,0,,,,,,,,
125,CHANAL,Chiapas,,FALSE,Total,"CHANAL, CHIAPAS",3289,1046,2258,2155000,0,2155,954.384411,91,,,0,,,,,,,,
126,CHANAL,Chiapas,,FALSE,Large,"CHANAL, CHIAPAS",284,0,274,227000,0,227,828.4671533,0,,,0,,,,,,,,
127,CHANAL,Chiapas,,FALSE,Small,"CHANAL, CHIAPAS",247,0,245,171000,0,171,697.9591837,0,,,0,,,,,,,,
128,CHANAL,Chiapas,,FALSE,Ejido,"CHANAL, CHIAPAS",2758,1046,1739,1757000,0,1757,1010.350776,91,,,0,,,,,,,,
129,CHAPULTENANGO,Chiapas,,FALSE,Total,"CHAPULTENANGO, CHIAPAS",2755,3320,2340,2018000,0,2018,862.3931624,0,,,0,,,,,,,,
