,,,Riego,Riego,Riego,Temporal,Temporal,Temporal,,,Total Average of Yield,Total StdDev of Yield,,Riego,Temporal,,
Row Labels,,Region,Average of Yield,StdDev of Yield,CV,Average of Yield,StdDev of Yield,CV,I/T Avg,I/T CV,Average of Yield,StdDev of Yield,Overall Average by summation,Avg Planted,Avg Planted,Avg % Irrigated,Overall Average by summation
Distrito Federal,Distrito Federal,,,,,1494.0,321.4,,,,1494.0,321.4,1347.9,0.0,684.3474436,0.0%,1347.896323
Alvaro Obregon,Distrito Federal,BOM,,,,1746.3,305.0,,,,1746.3,305.0,1755.5,0.0,51.78315789,0.0%,1755.53244
Cuajimalpa de Morelos,Distrito Federal,BOM,,,,1735.8,275.7,,,,1735.8,275.7,1782.2,0.0,46.70684211,0.0%,1782.205222
La Magdalena Contreras,Distrito Federal,BOM,,,,1728.4,279.2,,,,1728.4,279.2,1744.0,0.0,229.6,0.0%,1744.035435
Milpa Alta,Distrito Federal,BOM,,,,1289.5,228.7,,,,1289.5,228.7,1302.7,0.0,2068.1,0.0%,1302.749191
Tlahuac,Distrito Federal,BOM,,,,1313.7,204.3,,,,1313.7,204.3,1332.6,0.0,1011.731579,0.0%,1332.550865
Tlalpan,Distrito Federal,BOM,,,,1390.5,222.1,,,,1390.5,222.1,1392.8,0.0,753.7842105,0.0%,1392.776797
Xochimilco,Distrito Federal,BOM,,,,1253.7,171.1,,,,1253.7,171.1,1256.4,0.0,628.7263158,0.0%,1256.380621
Hidalgo,Hidalgo,,6139.8,3199.7,52.1,1026.6,609.6,59.4,6.0,0.9,3382.9,3378.7,5176.3,841.6643267,884.8203585,48.8%,5176.259465
Ajacuba,Hidalgo,Tula,7925.3,831.1,10.5,693.2,200.6,28.9,11.4,0.4,4309.2,3712.8,4297.9,2089.947368,2706.894737,43.6%,4297.856731
Almoloya,Hidalgo,Pachuca,2872.5,496.4,17.3,2047.9,743.5,36.3,1.4,0.5,2424.9,758.4,2252.1,36.976875,936.8763158,3.8%,2252.081787
Apan,Hidalgo,Pachuca,2868.3,596.0,20.8,2087.9,470.1,22.5,1.4,0.9,2275.2,596.2,2220.9,11.96,2298.908421,0.5%,2220.892775
Atitalaquia,Hidalgo,,8375.8,564.0,6.7,731.6,274.9,37.6,11.4,0.2,4553.7,3898.1,6404.6,459.8421053,189.6842105,70.8%,6404.553027
Atotonilco de Tula,Hidalgo,Tula,7924.7,1087.8,13.7,652.1,195.5,30.0,12.2,0.5,4288.4,3764.9,2115.8,162.0878947,850.5263158,16.0%,2115.840019
Emiliano Zapata,Hidalgo,Pachuca,2569.1,1129.6,44.0,1956.8,572.9,29.3,1.3,1.5,2181.3,856.6,2131.4,21.13545455,259.7673684,7.5%,2131.36552
Epazoyucan,Hidalgo,Pachuca,2835.8,955.0,33.7,896.3,441.1,49.2,3.2,0.7,1866.1,1226.4,1539.2,132.5589474,492.1768421,21.2%,1539.160452
Francisco I. Madero,Hidalgo,,10324.7,1402.9,13.6,556.8,356.7,64.1,18.5,0.2,5440.8,5051.4,9456.6,2294.324211,413.7368421,84.7%,9456.602377
Mineral de La Reforma,Hidalgo,Pachuca,5289.5,1324.5,25.0,1077.9,517.6,48.0,4.9,0.5,3183.7,2353.3,4320.4,507.3378947,252.4842105,66.8%,4320.435188
Mineral del Monte,Hidalgo,Tula,,,#DIV/0!,1002.6,350.3,34.9,,,1002.6,350.3,1037.8,0.0,472.9036842,0.0%,1037.813272
Mixquiahuala de Juarez,Hidalgo,Pachuca,10091.1,1380.5,13.7,593.2,326.5,55.0,17.0,0.2,5342.1,4913.4,9615.6,3664.747368,403.8421053,90.1%,9615.555859
Pachuca de Soto,Hidalgo,Pachuca,2879.2,555.9,19.3,871.6,155.0,17.8,3.3,1.1,1648.7,1056.3,933.8,18.95833333,287.5784211,6.2%,933.7865616
San Agustin Tlaxiaca,Hidalgo,Pachuca,3036.1,1061.0,34.9,749.5,273.4,36.5,4.1,1.0,1861.9,1382.5,937.8,84.93611111,1574.818421,5.1%,937.7618167
Singuilucan,Hidalgo,Pachuca,,,#DIV/0!,1583.7,596.9,37.7,,,1583.7,596.9,1661.4,0.0,2392.155263,0.0%,1661.402073
Tepeapulco,Hidalgo,Pachuca,2684.7,970.5,36.1,1922.6,583.7,30.4,1.4,1.2,2303.7,879.2,2103.7,43.06631579,577.6084211,6.9%,2103.71371
Tepeji del Rio de Ocampo,Hidalgo,Tula,8418.4,1247.1,14.8,707.9,266.0,37.6,11.9,0.4,4563.2,4007.0,4285.1,1841.072632,2997.631579,38.0%,4285.139214
Tepetitlan,Hidalgo,Tula,8456.3,1372.2,16.2,592.6,273.3,46.1,14.3,0.4,4524.5,4102.4,4380.3,644.8815789,1130.017368,36.3%,4380.334714
Tetepango,Hidalgo,Tula,9234.2,1907.4,20.7,684.2,202.7,29.6,13.5,0.7,4959.2,4534.3,4954.2,517.5615789,582.9736842,47.0%,4954.206524
Tezontepec de Aldama,Hidalgo,Pachuca,9848.4,1381.3,14.0,559.5,345.1,61.7,17.6,0.2,5203.9,4810.4,9526.9,3136.473684,376.5789474,89.3%,9526.928622
Tizayuca,Hidalgo,Tula,3890.0,1562.7,40.2,988.4,297.1,30.1,3.9,1.3,2314.9,1809.7,1306.0,89.483125,311.7263158,22.3%,1306.043238
Tlahuelilpan,Hidalgo,Tula,8923.7,1148.8,12.9,685.8,204.9,29.9,13.0,0.4,4804.7,4252.8,6932.8,406.2178947,133.9736842,75.2%,6932.780969
Tlanalapa,Hidalgo,Tula,2300.0,776.9,33.8,1592.8,519.3,32.6,1.4,1.0,1946.4,743.5,1766.6,16.24277778,291.6838889,5.3%,1766.604124
Tlaxcoapan,Hidalgo,Pachuca,8961.1,719.9,8.0,643.7,195.7,30.4,13.9,0.3,4802.4,4246.5,6476.2,903.6536842,448.3684211,66.8%,6476.205457
Tolcayuca,Hidalgo,Tula,2989.3,665.3,22.3,923.7,342.4,37.1,3.2,0.6,1800.0,1149.2,1013.1,16.95357143,241.5352632,6.6%,1013.134799
Tula de Allende,Hidalgo,Pachuca,9587.4,882.6,9.2,616.3,284.3,46.1,15.6,0.2,5101.8,4591.5,6515.5,2744.947368,2136.473684,56.2%,6515.488859
Villa de Tezontepec,Hidalgo,Pachuca,3004.2,663.6,22.1,1103.7,266.1,24.1,2.7,0.9,2053.9,1084.5,1687.1,115.2673684,238.7931579,32.6%,1687.090995
Zapotlan de Juarez,Hidalgo,Pachuca,2714.7,714.8,26.3,1160.6,421.9,36.4,2.3,0.7,1958.6,979.7,1401.7,44.96894737,341.3344444,11.6%,1401.665242
Zempoala,Hidalgo,Pachuca,4620.5,1787.1,38.7,1097.9,333.8,30.4,4.2,1.3,2859.2,2189.5,1345.2,115.2673684,1374.095789,7.7%,1345.192102
Distrito Federal,Distrito Federal,,,,,1494.0,321.4,,,,1494.0,321.4,1347.9,0.0,684.3474436,0.0%,1347.896323
Mexico,Mexico,,4369.8,1240.9,28.4,2797.6,1215.4,43.4,1.6,0.7,3396.2,1443.4,3548.2,1422.643461,3425.836077,29.3%,3548.191484
Alvaro Obregon,Distrito Federal,BOM,,,,1746.3,305.0,,,,1746.3,305.0,1755.5,0.0,51.78315789,0.0%,1755.53244
Cuajimalpa de Morelos,Distrito Federal,BOM,,,,1735.8,275.7,,,,1735.8,275.7,1782.2,0.0,46.70684211,0.0%,1782.205222
La Magdalena Contreras,Distrito Federal,BOM,,,,1728.4,279.2,,,,1728.4,279.2,1744.0,0.0,229.6,0.0%,1744.035435
Milpa Alta,Distrito Federal,BOM,,,,1289.5,228.7,,,,1289.5,228.7,1302.7,0.0,2068.1,0.0%,1302.749191
Tlahuac,Distrito Federal,BOM,,,,1313.7,204.3,,,,1313.7,204.3,1332.6,0.0,1011.731579,0.0%,1332.550865
Tlalpan,Distrito Federal,BOM,,,,1390.5,222.1,,,,1390.5,222.1,1392.8,0.0,753.7842105,0.0%,1392.776797
Xochimilco,Distrito Federal,BOM,,,,1253.7,171.1,,,,1253.7,171.1,1256.4,0.0,628.7263158,0.0%,1256.380621
Acolman,Mexico,BOM,4371.6,946.3,21.6,1567.9,653.4,41.7,2.8,0.5,2969.7,1631.4,3502.9,3284.263158,15189.94737,17.8%,3502.873767
Amecameca,Mexico,BOM,,,#DIV/0!,3323.7,608.7,18.3,,,3323.7,608.7,2953.8,1490.281579,1670.073684,47.2%,2953.760181
Apaxco,Mexico,BOM,5421.1,1036.8,19.1,2187.4,780.9,35.7,2.5,0.5,3804.2,1872.0,3174.9,5268.831579,8738.763158,37.6%,3174.905808
Atenco,Mexico,BOM,3443.2,827.8,24.0,1975.3,1095.4,55.5,1.7,0.4,2709.2,1212.6,4327.1,5165.842105,20138.28474,20.4%,4327.114916
Atizapan de Zaragoza,Mexico,BOM,,,#DIV/0!,1929.5,328.5,17.0,,,1929.5,328.5,3281.5,0.0,367.8073684,0.0%,3281.547745
Atlautla,Mexico,BOM,,,#DIV/0!,3099.5,437.5,14.1,,,3099.5,437.5,3283.0,0.0,4264.210526,0.0%,3283.037892
Axapusco,Mexico,BOM,,,#DIV/0!,1426.3,522.4,36.6,,,1426.3,522.4,2883.0,249.5357895,1216.263158,17.0%,2882.995827
Ayapango,Mexico,BOM,,,#DIV/0!,3186.3,642.0,20.1,,,3186.3,642.0,2912.6,1018.140526,727.5673684,58.3%,2912.571726
Chalco,Mexico,BOM,4502.1,573.7,12.7,3313.2,905.1,27.3,1.4,0.5,3907.6,960.0,3276.7,0.0,462.7857895,0.0%,3276.694877
Chapultepec,Mexico,BOM,,,#DIV/0!,3839.5,1004.0,26.2,,,3839.5,1004.0,1909.7,0.0,45.64894737,0.0%,1909.673055
Chiautla,Mexico,BOM,4169.5,1927.1,46.2,2119.5,1165.5,55.0,2.0,0.8,3144.5,1883.2,3909.6,2464.936842,9096.473684,21.3%,3909.594669
Chicoloapan,Mexico,BOM,3200.0,#DIV/0!,#DIV/0!,2475.3,690.3,27.9,1.3,,2511.5,691.2,3095.5,0.0,2878.795263,0.0%,3095.496124
Chiconcuac,Mexico,BOM,3216.3,812.1,25.2,2081.1,1012.9,48.7,1.5,0.5,2648.7,1072.8,1510.1,0.0,1569.526316,0.0%,1510.102948
Chimalhuacan,Mexico,BOM,2400.0,#DIV/0!,#DIV/0!,2054.2,891.4,43.4,1.2,,2071.5,871.1,2745.1,1076.815789,1232.777778,46.6%,2745.104051
Coacalco de Berriozabal,Mexico,BOM,3163.3,978.3,30.9,1260.0,835.5,66.3,2.5,0.5,2603.5,1277.3,3248.5,0.0,2334.447368,0.0%,3248.470166
Cocotitlan,Mexico,BOM,,,#DIV/0!,3456.3,1183.3,34.2,,,3456.3,1183.3,3755.1,0.0,892.4236842,0.0%,3755.074991
Coyotepec,Mexico,BOM,4013.2,684.6,17.1,1593.2,507.1,31.8,2.5,0.5,2803.2,1362.6,3268.9,94.62263158,5608.093684,1.7%,3268.941618
Cuautitlan,Mexico,BOM,4918.4,1045.3,21.3,,,#DIV/0!,,,4918.4,1045.3,3281.0,1607.802632,2464.736842,39.5%,3281.006054
Cuautitlan Izcalli,Mexico,BOM,4487.4,792.2,17.7,1933.7,403.9,20.9,2.3,0.8,3210.5,1434.9,3866.0,0.0,753.2457895,0.0%,3865.985575
Ecatepec de Morelos,Mexico,BOM,3331.1,938.0,28.2,1969.5,1059.7,53.8,1.7,0.5,2650.3,1204.3,3746.9,399.4210526,102.1884211,79.6%,3746.857577
Ecatzingo,Mexico,BOM,,,#DIV/0!,2979.5,501.4,16.8,,,2979.5,501.4,2438.8,173,377.3242105,31.4%,2438.828936
Huehuetoca,Mexico,BOM,4253.1,1030.6,24.2,1878.4,561.4,29.9,2.3,0.8,2964.0,1440.8,1633.4,4,44.05789474,8.3%,1633.401516
Hueypoxtla,Mexico,BOM,4511.8,1254.9,27.8,1609.5,598.4,37.2,2.8,0.7,2980.0,1750.2,2745.2,8.020833333,3.4,70.2%,2745.168539
Huixquilucan,Mexico,BOM,,,#DIV/0!,2613.2,880.3,33.7,,,2613.2,880.3,3557.9,408.8157895,3369.923158,10.8%,3557.943231
Isidro Fabela,Mexico,BOM,4573.2,734.6,16.1,2315.8,680.1,29.4,2.0,0.5,3444.5,1340.1,3972.8,0.0,1234.000526,0.0%,3972.763809
Ixtapaluca,Mexico,BOM,,,#DIV/0!,2499.5,805.0,32.2,,,2499.5,805.0,4050.8,0.0,8157.17,0.0%,4050.782877
Jaltenco,Mexico,BOM,4766.8,1048.4,22.0,1566.3,605.0,38.6,3.0,0.6,3166.6,1828.3,4186.7,0.0,1410.714211,0.0%,4186.747933
