ORD,Estado_ID,Estado,ddr_ID,ddr,Cader_ID,Cader,Municipio_ID,Municipio,EstadoMunicipio,Name,Region,INCLUDE,NOM
80,13,Hidalgo,63,Mixquiahuala,7,Tula,64,Tepetitlan,"Tepetitlan, Hidalgo",Tepetitlan,Tula,TRUE,"TEPETITLAN, HIDALGO"
81,13,Hidalgo,63,Mixquiahuala,6,Tlahuelilpan,65,Tetepango,"Tetepango, Hidalgo",Tetepango,Tula,TRUE,"TETEPANGO, HIDALGO"
82,13,Hidalgo,62,Pachuca,1,Pachuca,66,Villa de Tezontepec,"Villa de Tezontepec, Hidalgo",Villa de Tezontepec,Pachuca,TRUE,"VILLA DE TEZONTEPEC, HIDALGO"
83,13,Hidalgo,63,Mixquiahuala,5,Mixquiahuala,67,Tezontepec de Aldama,"Tezontepec de Aldama, Hidalgo",Tezontepec de Aldama,Tula,TRUE,"TEZONTEPEC DE ALDAMA, HIDALGO"
85,13,Hidalgo,62,Pachuca,1,Pachuca,69,Tizayuca,"Tizayuca, Hidalgo",Tizayuca,Tula,TRUE,"TIZAYUCA, HIDALGO"
86,13,Hidalgo,63,Mixquiahuala,6,Tlahuelilpan,70,Tlahuelilpan,"Tlahuelilpan, Hidalgo",Tlahuelilpan,Tula,TRUE,
88,13,Hidalgo,62,Pachuca,3,Apan,72,Tlanalapa,"Tlanalapa, Hidalgo",Tlanalapa,Pachuca,TRUE,"TLANALAPA, HIDALGO"
90,13,Hidalgo,63,Mixquiahuala,6,Tlahuelilpan,74,Tlaxcoapan,"Tlaxcoapan, Hidalgo",Tlaxcoapan,Tula,TRUE,"TLAXCOAPAN, HIDALGO"
91,13,Hidalgo,62,Pachuca,1,Pachuca,75,Tolcayuca,"Tolcayuca, Hidalgo",Tolcayuca,Pachuca,TRUE,"TOLCAYUCA, HIDALGO"
92,13,Hidalgo,63,Mixquiahuala,7,Tula,76,Tula de Allende,"Tula de Allende, Hidalgo",Tula de Allende,Pachuca,TRUE,"TULA DE ALLENDE, HIDALGO"
98,13,Hidalgo,62,Pachuca,1,Pachuca,82,Zapotlan de Juarez,"Zapotlan de Juarez, Hidalgo",Zapotlan de Juarez,Pachuca,TRUE,"ZAPOTLAN DE JUAREZ, HIDALGO"
