"","Estado_ID","Estado","ddr_ID","ddr","Cader_ID","Cader","Municipio_ID","Municipio","EstadoMunicipio",".remove_duplicates"
"46",13,"Hidalgo",62,"Pachuca",1,"Pachuca",75,"Tolcayuca","Tolcayuca, Hidalgo",TRUE
"47",13,"Hidalgo",62,"Pachuca",1,"Pachuca",82,"Zapotlan de Juarez","Zapotlan de Juarez, Hidalgo",TRUE
"48",13,"Hidalgo",62,"Pachuca",1,"Pachuca",83,"Zempoala","Zempoala, Hidalgo",TRUE
"49",13,"Hidalgo",62,"Pachuca",2,"Atotonilco",12,"Atotonilco El Grande","Atotonilco El Grande, Hidalgo",TRUE
"50",13,"Hidalgo",62,"Pachuca",2,"Atotonilco",24,"Huasca de Ocampo","Huasca de Ocampo, Hidalgo",TRUE
"51",13,"Hidalgo",62,"Pachuca",2,"Atotonilco",38,"Mineral del Chico","Mineral del Chico, Hidalgo",TRUE
"52",13,"Hidalgo",62,"Pachuca",2,"Atotonilco",39,"Mineral del Monte","Mineral del Monte, Hidalgo",TRUE
"53",13,"Hidalgo",62,"Pachuca",2,"Atotonilco",45,"Omitlan de Juarez","Omitlan de Juarez, Hidalgo",TRUE
"54",13,"Hidalgo",62,"Pachuca",3,"Apan",7,"Almoloya","Almoloya, Hidalgo",TRUE
"55",13,"Hidalgo",62,"Pachuca",3,"Apan",8,"Apan","Apan, Hidalgo",TRUE
"56",13,"Hidalgo",62,"Pachuca",3,"Apan",21,"Emiliano Zapata","Emiliano Zapata, Hidalgo",TRUE
"57",13,"Hidalgo",62,"Pachuca",3,"Apan",61,"Tepeapulco","Tepeapulco, Hidalgo",TRUE
"58",13,"Hidalgo",62,"Pachuca",3,"Apan",72,"Tlanalapa","Tlanalapa, Hidalgo",TRUE
"59",13,"Hidalgo",63,"Mixquiahuala",1,"Alfajayucan",6,"Alfajayucan","Alfajayucan, Hidalgo",TRUE
"60",13,"Hidalgo",63,"Mixquiahuala",2,"Ixmiquilpan",15,"Cardonal","Cardonal, Hidalgo",TRUE
"61",13,"Hidalgo",63,"Mixquiahuala",2,"Ixmiquilpan",30,"Ixmiquilpan","Ixmiquilpan, Hidalgo",TRUE
"62",13,"Hidalgo",63,"Mixquiahuala",2,"Ixmiquilpan",58,"Tasquillo","Tasquillo, Hidalgo",TRUE
"63",13,"Hidalgo",63,"Mixquiahuala",3,"Chilcuautla",19,"Chilcuautla","Chilcuautla, Hidalgo",TRUE
"64",13,"Hidalgo",63,"Mixquiahuala",4,"Actopan",3,"Actopan","Actopan, Hidalgo",TRUE
"65",13,"Hidalgo",63,"Mixquiahuala",4,"Actopan",9,"El Arenal","El Arenal, Hidalgo",TRUE
"66",13,"Hidalgo",63,"Mixquiahuala",4,"Actopan",23,"Francisco I. Madero","Francisco I. Madero, Hidalgo",TRUE
"67",13,"Hidalgo",63,"Mixquiahuala",4,"Actopan",54,"San Salvador","San Salvador, Hidalgo",TRUE
"68",13,"Hidalgo",63,"Mixquiahuala",4,"Actopan",55,"Santiago de Anaya","Santiago de Anaya, Hidalgo",TRUE
"69",13,"Hidalgo",63,"Mixquiahuala",5,"Mixquiahuala",41,"Mixquiahuala de Juarez","Mixquiahuala de Juarez, Hidalgo",TRUE
"70",13,"Hidalgo",63,"Mixquiahuala",5,"Mixquiahuala",50,"Progreso de Obregon","Progreso de Obregon, Hidalgo",TRUE
"71",13,"Hidalgo",63,"Mixquiahuala",5,"Mixquiahuala",67,"Tezontepec de Aldama","Tezontepec de Aldama, Hidalgo",TRUE
"72",13,"Hidalgo",63,"Mixquiahuala",6,"Tlahuelilpan",5,"Ajacuba","Ajacuba, Hidalgo",TRUE
"73",13,"Hidalgo",63,"Mixquiahuala",6,"Tlahuelilpan",10,"Atitalaquia","Atitalaquia, Hidalgo",TRUE
"74",13,"Hidalgo",63,"Mixquiahuala",6,"Tlahuelilpan",13,"Atotonilco de Tula","Atotonilco de Tula, Hidalgo",TRUE
"75",13,"Hidalgo",63,"Mixquiahuala",6,"Tlahuelilpan",65,"Tetepango","Tetepango, Hidalgo",TRUE
"76",13,"Hidalgo",63,"Mixquiahuala",6,"Tlahuelilpan",70,"Tlahuelilpan","Tlahuelilpan, Hidalgo",TRUE
"77",13,"Hidalgo",63,"Mixquiahuala",6,"Tlahuelilpan",74,"Tlaxcoapan","Tlaxcoapan, Hidalgo",TRUE
"78",13,"Hidalgo",63,"Mixquiahuala",7,"Tula",63,"Tepeji del Rio de Ocampo","Tepeji del Rio de Ocampo, Hidalgo",TRUE
"79",13,"Hidalgo",63,"Mixquiahuala",7,"Tula",64,"Tepetitlan","Tepetitlan, Hidalgo",TRUE
"80",13,"Hidalgo",63,"Mixquiahuala",7,"Tula",76,"Tula de Allende","Tula de Allende, Hidalgo",TRUE
"81",13,"Hidalgo",64,"Huichapan",1,"Chapulhuacan",18,"Chapulhuacan","Chapulhuacan, Hidalgo",TRUE
"82",13,"Hidalgo",64,"Huichapan",1,"Chapulhuacan",31,"Jacala de Ledezma","Jacala de Ledezma, Hidalgo",TRUE
"83",13,"Hidalgo",64,"Huichapan",1,"Chapulhuacan",40,"La Mision","La Mision, Hidalgo",TRUE
"84",13,"Hidalgo",64,"Huichapan",1,"Chapulhuacan",49,"Pisaflores","Pisaflores, Hidalgo",TRUE
"85",13,"Hidalgo",64,"Huichapan",2,"Zimapan",43,"Nicolas Flores","Nicolas Flores, Hidalgo",TRUE
"86",13,"Hidalgo",64,"Huichapan",2,"Zimapan",47,"Pacula","Pacula, Hidalgo",TRUE
"87",13,"Hidalgo",64,"Huichapan",2,"Zimapan",84,"Zimapan","Zimapan, Hidalgo",TRUE
"88",13,"Hidalgo",64,"Huichapan",3,"Huichapan",17,"Chapantongo","Chapantongo, Hidalgo",TRUE
"89",13,"Hidalgo",64,"Huichapan",3,"Huichapan",29,"Huichapan","Huichapan, Hidalgo",TRUE
"90",13,"Hidalgo",64,"Huichapan",3,"Huichapan",44,"Nopala de Villagran","Nopala de Villagran, Hidalgo",TRUE
"91",13,"Hidalgo",64,"Huichapan",3,"Huichapan",59,"Tecozautla","Tecozautla, Hidalgo",TRUE
"92",15,"Mexico",73,"Toluca",1,"Lerma",37,"Huixquilucan","Huixquilucan, Mexico",TRUE
"93",15,"Mexico",73,"Toluca",1,"Lerma",51,"Lerma","Lerma, Mexico",TRUE
"94",15,"Mexico",73,"Toluca",1,"Lerma",62,"Ocoyoacac","Ocoyoacac, Mexico",TRUE
"95",15,"Mexico",73,"Toluca",1,"Lerma",76,"San Mateo Atenco","San Mateo Atenco, Mexico",TRUE
"96",15,"Mexico",73,"Toluca",2,"Almoloya de Juarez",5,"Almoloya de Juarez","Almoloya de Juarez, Mexico",TRUE
"97",15,"Mexico",73,"Toluca",3,"Zinacantepec",118,"Zinacantepec","Zinacantepec, Mexico",TRUE
"98",15,"Mexico",73,"Toluca",4,"Tenango del Valle",49,"Joquicingo","Joquicingo, Mexico",TRUE
"99",15,"Mexico",73,"Toluca",4,"Tenango del Valle",72,"Rayon","Rayon, Mexico",TRUE
"100",15,"Mexico",73,"Toluca",4,"Tenango del Valle",73,"San Antonio La Isla","San Antonio La Isla, Mexico",TRUE
"101",15,"Mexico",73,"Toluca",4,"Tenango del Valle",90,"Tenango del Valle","Tenango del Valle, Mexico",TRUE
"102",15,"Mexico",73,"Toluca",5,"Toluca",54,"Metepec","Metepec, Mexico",TRUE
"103",15,"Mexico",73,"Toluca",5,"Toluca",106,"Toluca","Toluca, Mexico",TRUE
"104",15,"Mexico",73,"Toluca",6,"Temoaya",87,"Temoaya","Temoaya, Mexico",TRUE
"105",15,"Mexico",73,"Toluca",7,"Santiago Tianguistengo",6,"Almoloya del Rio","Almoloya del Rio, Mexico",TRUE
"106",15,"Mexico",73,"Toluca",7,"Santiago Tianguistengo",12,"Atizapan","Atizapan, Mexico",TRUE
"107",15,"Mexico",73,"Toluca",7,"Santiago Tianguistengo",19,"Capulhuac","Capulhuac, Mexico",TRUE
